timestamp,AJU,BEL,BPS,BSB,BVB,CGB,CGH,CGR,CNF,CWB,FLN,FOR,GIG,GRU,GYN,IGU,IMP,IOS,JOI,JPA,LDB,MAB,MAO,MCP,MCZ,NAT,NVT,PMW,POA,PVH,RAO,RBR,REC,SDU,SJP,SLZ,SSA,STM,THE,UDI,VCP,VIX
AJU,0,0,0,0.005269295,0,0,0,0,0,0,0,0,0,0.010030075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,0,0.036542119,0,0,0,0,0,0,0,0.050152737,0.050155026,0.059825989,0,0,0,0,0,0,0,0,0.202099123,0.411379966,0,0,0,0,0,0,0,0,0,0,0,0.011233252,0.000414182,0,0,0,0,0
BPS,0,0,0,0.001452318,0,0,3.38428E-06,0,0.003849717,0,0,0,0,0.002534783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSB,0.294391892,0.179408534,0.271952955,0,0.973737311,0.363693963,0.163698299,0.238497717,0.269096377,0.194664606,0.112283696,0.146221305,0.159853533,0.03830289,0.333835509,0.000264191,0.52627869,0.403594677,0,0.32045087,0,0.993646414,0.457941972,0.588620034,0.200649798,0.180148583,0,0.512705254,0.271251804,0.153301511,0.600582744,0.441908806,0.257511774,0.22081614,0.20733006,0.102613233,0.175757601,0.186402697,0.824676931,0.44431823,0.362283168,0.233371146
BVB,0,0,0,0.015898759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001717217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGB,0,0,0,0.017408857,0,0,0.038039884,0.002176324,0,0,0,0,0,1.46479E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000529752,0,0,0,0,0,0,0,0,0,0
CGH,0,0,0.000505719,0.130633624,0,0.634184814,0,0.427878479,0.378278319,0.308867705,0.586034168,2.82456E-07,0.189194322,3.08987E-05,0.546965375,0.300435331,0,0.59375588,1,0,0.651311885,0,0,0,0.010630732,0,0.997807956,0.48301385,0.341616737,0.469798464,0.240708803,0.54011227,0.027206878,0.081850752,0.551984813,0.163377593,0.056753513,0.148191867,0,0.095964008,0.522526923,0.320225832
CGR,0,0,0,0.009834068,0,0.001874729,0.022108466,0,0,0,0,0,0,0.010729552,0,0,0,0,0,0,0.007460472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNF,0,0,0.129874683,0.048480974,0,0,0.085401231,0,0,0,0.000256775,0.010384902,4.81176E-05,0.019523443,0,0,0,0,0,0.001602021,0,0,0,0,0,6.17236E-05,0,0,0,0,0,0.000633149,0.019557019,0.044536607,0.174508046,0,0.00426223,0.004221382,0,0,0,0.065418289
CWB,0,0,0,0.034672961,0,0,0.068939104,0,0,0,0.002602403,0.002947363,0.006715342,0.067928532,0,0.009029356,0,0,0,0,0.003691682,0,0,0,0,0,0.000907373,0,0.001935387,0.000283724,0,0,0,0,0,0,0,0,0,0,0,1.11882E-05
FLN,0,0,0,0.005511324,0,0,0.036045524,0,6.99567E-05,0.00071715,0,0,0,0.011621895,0,0,0,0,0,0,0,0,0,0,0,0,0.00125761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1926E-07
FOR,0,0.103868211,0,0.0616807,0,0,1.49306E-07,0,0.024315183,0.006980207,0,0,0.087343153,0.175331438,0,0,0,0,0,0,0,0,0.041181096,0,0,0.149408384,0,0,0.019631534,0.013549823,0,0,0.046847251,0.074010283,0,0.035191604,0.115341472,0.117200104,0.017959203,0.231779257,0,0.063414496
