origin,destination,count
AJU,GRU,2
AJU,BSB,2
BEL,MAO,2
BEL,GRU,2
BEL,MCP,2
BEL,BSB,2
BEL,FOR,2
BEL,GIG,2
BEL,SLZ,2
BPS,BSB,2
BPS,CNF,2
BPS,GRU,2
BPS,CGH,2
BSB,MAO,2
BSB,VCP,2
BSB,MCP,2
BSB,CWB,2
BSB,SSA,2
BSB,GIG,2
BSB,REC,2
BSB,BEL,2
BSB,GRU,2
BSB,BVB,2
BSB,CNF,2
BSB,PVH,2
BSB,PMW,2
BSB,JPA,2
BSB,FOR,2
BSB,STM,2
BSB,CGH,2
BSB,RBR,2
BSB,SLZ,2
BSB,MAB,2
BSB,THE,2
BSB,CGB,2
BSB,FLN,2
BSB,POA,2
BSB,GYN,2
BSB,NAT,2
BSB,UDI,2
BSB,VIX,2
BSB,CGR,2
BSB,IMP,2
BSB,AJU,2
BSB,SDU,2
BSB,MCZ,2
BSB,BPS,2
BSB,IOS,2
BSB,SJP,2
BVB,BSB,2
BVB,MAO,2
CGB,BSB,2
CGB,CGH,2
CGB,CGR,2
CGB,RAO,2
CGB,GRU,2
CGH,BSB,2
CGH,CGB,2
CGH,VIX,2
CGH,FLN,2
CGH,UDI,2
CGH,POA,2
CGH,GYN,2
CGH,LDB,2
CGH,CWB,2
CGH,CNF,2
CGH,SSA,2
CGH,GIG,2
CGH,RAO,2
CGH,NVT,2
CGH,CGR,2
CGH,SDU,2
CGH,REC,2
CGH,PMW,2
CGH,JOI,2
CGH,IOS,2
CGH,SJP,2
CGH,PLU,2
CGH,VCP,2
CGH,MCZ,2
CGH,IGU,2
CGR,CGH,2
CGR,BSB,2
CGR,GRU,2
CNF,BSB,2
CNF,CGH,2
CNF,GRU,2
CNF,REC,2
CNF,SDU,2
CNF,FOR,2
CNF,SSA,2
CNF,VIX,2
CNF,BPS,2
CNF,VCP,2
CNF,RAO,2
CNF,GIG,2
CNF,FLN,2
CWB,GRU,2
CWB,BSB,2
CWB,CGH,2
CWB,FOR,2
CWB,GIG,2
CWB,LDB,2
